n,case,mode,safety_profile,strategy,converged,iterations,relative_residual,asymptotic_contraction,elapsed_seconds,setup_seconds,solve_seconds,work_units,safety_work_units,nn_calls,transfer_nn_calls,smoother_nn_calls,detector_nn_calls,selector_nn_calls,nn_seconds,matvec_count,true_residual_points,mean_gate,fallback_count,selected_strategy,hierarchy_rebuilds,active_patch_fraction,active_cell_fraction,alpha_count,alpha_mean,alpha_median,alpha_p10,alpha_p90,alpha_zero_fraction,alpha_active_fraction,relative_solution_error
31,rotated_anisotropy,nn_smoother,raw,jacobi_bilinear_full,False,3,0.03456717573468375,0.3257526563440704,0.03863936099878629,0.008633234999251727,0.03000612599953456,19.6827650054004,0.0,18,0,18,0,0,0.022435399000642064,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.005466206365990095
31,rotated_anisotropy,learned_transfer,raw,jacobi_bilinear_full,False,3,0.0199942542084224,0.2714157650400132,0.03810722100024577,0.03442073899987008,0.0036864820003756904,46.428637555932724,0.0,3,3,0,0,0,0.012692706999587244,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.005421891900572158
31,rotated_anisotropy,combined,raw,jacobi_bilinear_full,False,3,0.03468972711438915,0.3261371670961208,0.05812360100026126,0.024109531000249262,0.034014070000012,46.428637555932724,0.0,21,3,18,0,0,0.03027500199732458,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0054869712984850945
31,rotated_anisotropy,adaptive,raw,jacobi_bilinear_full,False,3,0.019925317002791907,0.2711034721627291,0.0536533659997076,0.0023972119997779373,0.051256153999929666,27.72874556395618,0.0,18,0,0,18,0,0.02269480600261886,49,4,0.0,0,jacobi_bilinear_full,3,0.0,0.0,0,,,,,,0.0,0.0054043153396666765
31,rotated_anisotropy,adaptive,safe,jacobi_bilinear_full,False,3,0.019925317002791907,0.2711034721627291,0.11162944199986669,0.008913204000236874,0.10271623799962981,49.41151056935658,21.6827650054004,18,0,0,18,0,0.05671749299926887,82,4,0.0,0,jacobi_bilinear_full,3,0.0,0.0,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0054043153396666765
31,local_patch,classical,raw,jacobi_bilinear_full,False,3,0.01142435908824174,0.2252218985416678,0.01103552399945329,0.008396530000027269,0.0026389939994260203,21.544288814361806,0.0,0,0,0,0,0,0.0,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.12196822341984356
31,local_patch,nn_smoother,raw,jacobi_bilinear_full,False,3,0.014216592297054579,0.24225077195110487,0.04573635100041429,0.010054571000182477,0.03568178000023181,21.544288814361806,0.0,18,0,18,0,0,0.027118690997667727,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.12420688333395773
31,local_patch,learned_transfer,raw,jacobi_bilinear_full,False,3,0.011443261661241072,0.22534604635292044,0.0286134719990514,0.02344674199957808,0.0051667299994733185,55.74038271848491,0.0,3,3,0,0,0,0.0046108979995551636,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.12190713643101488
31,local_patch,combined,raw,jacobi_bilinear_full,False,3,0.014239499756267232,0.2423808165177407,0.06397209999977349,0.02761829100018076,0.03635380899959273,55.74038271848491,0.0,21,3,18,0,0,0.03712530300072103,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.12414162064372357
31,local_patch,adaptive,raw,jacobi_bilinear_full,False,3,0.01142435908824174,0.2252218985416678,0.0854900810008985,0.002165528000659833,0.08332455300023867,30.160189386466758,0.0,18,0,0,18,0,0.047820386998864706,49,4,0.0,0,jacobi_bilinear_full,3,0.0,0.0,0,,,,,,0.0,0.12196822341984356
31,local_patch,adaptive,safe,jacobi_bilinear_full,False,3,0.01142435908824174,0.2252218985416678,0.05631319100029941,0.009631631000047491,0.04668156000025192,53.70447820082857,23.544288814361806,18,0,0,18,0,0.015644900001461792,82,4,0.0,0,jacobi_bilinear_full,3,0.0,0.0,18,0.0,0.0,0.0,0.0,1.0,0.0,0.12196822341984356
31,checkerboard,classical,raw,jacobi_bilinear_full,False,3,0.283109892036792,0.6566264125104492,0.010269234000588767,0.007556899000519479,0.002712335000069288,20.760437197634833,0.0,0,0,0,0,0,0.0,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.2005936656105531
31,checkerboard,nn_smoother,raw,jacobi_bilinear_full,False,3,0.48719037213680155,0.786863799738966,0.03363515000091866,0.007112676000360807,0.02652247400055785,20.760437197634833,0.0,18,0,18,0,0,0.02012544400167826,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.2098172563593826
31,checkerboard,learned_transfer,raw,jacobi_bilinear_full,False,3,0.2832222376800684,0.6567132567160296,0.02436363299966615,0.021417365999695903,0.0029462669999702484,51.8193872065938,0.0,3,3,0,0,0,0.002671367999028007,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.20119479005889862
31,checkerboard,combined,raw,jacobi_bilinear_full,False,3,0.48767278451257745,0.7871234296739286,0.07817245799924422,0.040381025999522535,0.03779143199972168,51.8193872065938,0.0,21,3,18,0,0,0.04797521499767754,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.21063173391699752
31,checkerboard,adaptive,raw,jacobi_bilinear_full,False,3,0.283109892036792,0.6566264125104492,0.04606290900028398,0.002896749000683485,0.043166159999600495,29.13635549184734,0.0,18,0,0,18,0,0.01485926800614834,49,4,0.0,0,jacobi_bilinear_full,3,0.0,0.0,0,,,,,,0.0,0.2005936656105531
31,checkerboard,adaptive,safe,jacobi_bilinear_full,False,3,0.283109892036792,0.6566264125104492,0.07745526200051245,0.01505923199965764,0.06239603000085481,51.89679268948217,22.760437197634833,18,0,0,18,0,0.025925666998773522,82,4,0.0,0,jacobi_bilinear_full,3,0.0,0.0,18,0.0,0.0,0.0,0.0,1.0,0.0,0.2005936656105531
31,channel,classical,raw,jacobi_bilinear_full,False,3,0.031235472227954718,0.31493144465249756,0.011429559000134759,0.007673836000321899,0.0037557229998128605,21.71624069229221,0.0,0,0,0,0,0,0.0,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.03727713303263829
31,channel,nn_smoother,raw,jacobi_bilinear_full,False,3,0.03456847879993409,0.3257567495492956,0.03133850500034896,0.008214288000090164,0.023124217000258795,21.71624069229221,0.0,18,0,18,0,0,0.0170914999962406,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.03728610642600477
31,channel,learned_transfer,raw,jacobi_bilinear_full,False,3,0.03124593935702065,0.3149666189772445,0.02430319500126643,0.021402261000730505,0.0029009340005359263,56.6005232441135,0.0,3,3,0,0,0,0.006182685999192472,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.03739035781936734
31,channel,combined,raw,jacobi_bilinear_full,False,3,0.034635240980102684,0.3259663262673505,0.06725175399969885,0.04095206500005588,0.026299688999642967,56.6005232441135,0.0,21,3,18,0,0,0.028347671998744772,31,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.03740649690391834
31,channel,adaptive,raw,jacobi_bilinear_full,False,3,0.031235472227954718,0.31493144465249756,0.06651978599984432,0.0020197730000290903,0.06450001299981523,30.3847856711612,0.0,18,0,0,18,0,0.033403218999410456,49,4,0.0,0,jacobi_bilinear_full,3,0.0,0.0,0,,,,,,0.0,0.03727713303263829
31,channel,adaptive,safe,jacobi_bilinear_full,False,3,0.031235472227954718,0.31493144465249756,0.06456200599950535,0.008993792999717698,0.05556821299978765,54.101026363453414,23.71624069229221,18,0,0,18,0,0.026468006000868627,82,4,0.0,0,jacobi_bilinear_full,3,0.0,0.0,18,0.0,0.0,0.0,0.0,1.0,0.0,0.03727713303263829
63,rotated_anisotropy,classical,raw,jacobi_bilinear_full,False,3,0.022413594476313106,0.2819489641404044,0.11674034299994673,0.11241940499985503,0.004320938000091701,20.094607968916094,0.0,0,0,0,0,0,0.0,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.005421054101478347
63,rotated_anisotropy,nn_smoother,raw,jacobi_bilinear_full,False,3,0.03702380910955496,0.33329364482554175,0.07298215700029687,0.01613761400039948,0.056844542999897385,20.094607968916094,0.0,24,0,24,0,0,0.045262193998496514,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0053949231607804396
63,rotated_anisotropy,learned_transfer,raw,jacobi_bilinear_full,False,3,0.022628722615190403,0.2828481524417441,0.08794967999983783,0.08088590599982126,0.007063774000016565,54.77874711337561,0.0,4,4,0,0,0,0.006657597999947029,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.005441603740093865
63,rotated_anisotropy,combined,raw,jacobi_bilinear_full,False,3,0.03745908341119256,0.33459469334795905,0.15471859799981758,0.0800794879996829,0.07463911000013468,54.77874711337561,0.0,28,4,24,0,0,0.06508554499941965,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.00541866399123786
63,rotated_anisotropy,adaptive,raw,jacobi_bilinear_full,False,3,0.022413594476313106,0.2819489641404044,0.11944861899974057,0.006693309999718622,0.11275530900002195,28.401928081815182,0.0,24,0,0,24,0,0.050639641001907876,64,4,0.0,0,jacobi_bilinear_full,4,0.0,0.0,0,,,,,,0.0,0.005421054101478347
63,rotated_anisotropy,adaptive,safe,jacobi_bilinear_full,False,3,0.022413594476313106,0.2819489641404044,0.14490535400000226,0.020063650000338384,0.12484170399966388,50.49653605073128,22.094607968916094,24,0,0,24,0,0.0685649460001514,106,4,0.0,0,jacobi_bilinear_full,4,0.0,0.0,24,0.0,0.0,0.0,0.0,1.0,0.0,0.005421054101478347
63,local_patch,classical,raw,jacobi_bilinear_full,False,3,0.009720997409778463,0.2134208977731534,0.016806671999802347,0.012744112000291352,0.004062559999510995,22.240773454285033,0.0,0,0,0,0,0,0.0,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.11952895061997353
