n,case,strategy,smoother,transfer,coarsening,converged,iterations,relative_residual,asymptotic_contraction,elapsed_seconds,setup_seconds,solve_seconds,work_units,safety_work_units,nn_calls,transfer_nn_calls,smoother_nn_calls,detector_nn_calls,selector_nn_calls,nn_seconds,matvec_count,true_residual_points,mean_gate,fallback_count,selected_strategy,hierarchy_rebuilds,active_patch_fraction,active_cell_fraction,alpha_count,alpha_mean,alpha_median,alpha_p10,alpha_p90,alpha_zero_fraction,alpha_active_fraction,relative_solution_error
31,local_patch,line_y_bilinear_full,line_y,bilinear,full,False,12,0.0022142988261126565,0.8601381885734916,0.0975829179997163,0.008189395999579574,0.08939352200013673,128.83349773130794,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_y_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.049615497978967284
31,local_patch,line_alt_bilinear_full,line_alt,bilinear,full,False,12,0.001276741096694185,0.9038874197873522,0.17636060999939218,0.0072364449997621705,0.16912416499963,180.33714736634445,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.03740882122436946
31,local_patch,jacobi_operator_full,jacobi,operator,full,False,12,0.0020764398801705808,0.9171703329882586,0.03406170400012343,0.023189276999801223,0.010872427000322205,142.8812389031367,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_operator_full,0,0.0,0.0,0,,,,,,0.0,0.010461532077300354
31,local_patch,line_alt_operator_full,line_alt,operator,full,False,12,0.0009983006836710234,0.9286565159763337,0.1911311839994596,0.023037531999761995,0.1680936519996976,305.47425527717496,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_operator_full,0,0.0,0.0,0,,,,,,0.0,0.00379642955689927
31,local_patch,line_x_operator_semi_y,line_x,operator,semi_y,False,12,0.0012547644658178296,0.9201593884500847,0.16655113700016955,0.056952183000248624,0.10959895399992092,509.7251923456303,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_x_operator_semi_y,0,0.0,0.0,0,,,,,,0.0,0.01692697632429574
31,local_patch,line_y_operator_semi_x,line_y,operator,semi_x,False,12,0.001254764465817913,0.9201593884500512,0.18277822399977595,0.07173872699968342,0.11103949700009252,538.9996054448609,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_y_operator_semi_x,0,0.0,0.0,0,,,,,,0.0,0.016926976324306536
31,local_patch,line_alt_operator_alternating,line_alt,operator,alternating,False,12,0.00031674839584565123,0.8558086353993503,0.3353667820001647,0.05046875900006853,0.28489802300009615,832.2598145590846,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_alt_operator_alternating,0,0.0,0.0,0,,,,,,0.0,0.000902946871005441
31,checkerboard,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.01154084488789714,0.7068063757546725,0.017956369999410526,0.007175510999331891,0.010780859000078635,80.04174879053933,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0666304543757726
31,checkerboard,line_x_bilinear_full,line_x,bilinear,full,False,12,0.00739974095905584,0.8625304072225595,0.09489743300036935,0.007167742000092403,0.08772969100027694,123.71134205339546,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_x_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.07963479256542283
31,checkerboard,line_y_bilinear_full,line_y,bilinear,full,False,12,0.005234383037325268,0.8664739071536938,0.09668690399939806,0.008339056999830063,0.08834784699956799,123.71134205339546,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_y_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.05275609510933934
31,checkerboard,line_alt_bilinear_full,line_alt,bilinear,full,False,12,0.003140232684167544,0.8594864155034788,0.1590259850008806,0.0067475810001269565,0.15227840400075365,172.69181150331482,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.04518318683056256
31,checkerboard,jacobi_operator_full,jacobi,operator,full,False,12,0.013231115408340703,0.7400116366195159,0.03684542000064539,0.025488356000096246,0.011357064000549144,175.59881741623366,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_operator_full,0,0.0,0.0,0,,,,,,0.0,0.015434866336148798
31,checkerboard,line_alt_operator_full,line_alt,operator,full,False,12,0.000663690132817017,0.7275376451743621,0.1888730869995925,0.029379298000094423,0.15949378899949807,370.7423400824225,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_operator_full,0,0.0,0.0,0,,,,,,0.0,0.006356655554567673
31,checkerboard,line_x_operator_semi_y,line_x,operator,semi_y,False,12,0.0023528216971968777,0.787689884594575,0.18206945499969152,0.05701256999964244,0.12505688500004908,552.8322881204085,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_x_operator_semi_y,0,0.0,0.0,0,,,,,,0.0,0.02361206478546954
31,checkerboard,line_y_operator_semi_x,line_y,operator,semi_x,False,12,0.0007845748281237141,0.7082220160905425,0.16161234899936971,0.054377622999709274,0.10723472599966044,583.0763304067372,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_y_operator_semi_x,0,0.0,0.0,0,,,,,,0.0,0.0026861094669185554
31,checkerboard,line_alt_operator_alternating,line_alt,operator,alternating,False,12,2.7040375443897454e-06,0.42969338463905227,0.327651280000282,0.05264823499965132,0.27500304500063066,922.839096936033,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_alt_operator_alternating,0,0.0,0.0,0,,,,,,0.0,1.1203970941265457e-05
31,channel,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.004532083749532491,0.9458766094251606,0.01742547400044714,0.0073216910004703095,0.01010378299997683,83.86496276916884,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.006278731348042735
31,channel,line_x_bilinear_full,line_x,bilinear,full,False,12,0.009761822944671802,0.9380441852250917,0.0886787439994805,0.006858132999695954,0.08182061099978455,129.9571342322399,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_x_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.006955766056725621
31,channel,line_y_bilinear_full,line_y,bilinear,full,False,12,0.009761822944669925,0.9380441852250563,0.09126887899947178,0.007044412000141165,0.08422446699933062,129.9571342322399,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_y_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0069557660567256775
31,channel,line_alt_bilinear_full,line_alt,bilinear,full,False,12,0.007821935451263714,0.9125695021294016,0.1536552670004312,0.0069664370003010845,0.1466888300001301,182.01428858925337,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.005500231249939952
31,channel,jacobi_operator_full,jacobi,operator,full,False,12,0.044641574427543095,0.8227532235225815,0.035224498999923526,0.02413725499991415,0.011087244000009377,136.26504326826324,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_operator_full,0,0.0,0.0,0,,,,,,0.0,0.019584902831068222
31,channel,line_alt_operator_full,line_alt,operator,full,False,12,0.01084920760921589,0.8752284265200719,0.190020564000406,0.02394623899999715,0.16607432500040886,290.72187562889917,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_operator_full,0,0.0,0.0,0,,,,,,0.0,0.005239105960369304
31,channel,line_x_operator_semi_y,line_x,operator,semi_y,False,12,0.008782412510962359,0.8264320363307336,0.16437996500008012,0.04896317800012184,0.11541678699995828,569.2044676997384,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_x_operator_semi_y,0,0.0,0.0,0,,,,,,0.0,0.004687044169302049
31,channel,line_y_operator_semi_x,line_y,operator,semi_x,False,12,0.00878241251096063,0.8264320363307083,0.16112708899981953,0.04659479099973396,0.11453229800008558,531.2507546790099,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_y_operator_semi_x,0,0.0,0.0,0,,,,,,0.0,0.00468704416930211
31,channel,line_alt_operator_alternating,line_alt,operator,alternating,False,12,0.0037372407109719724,0.8435987939058712,0.33206167800017283,0.05303866400026891,0.2790230139999039,809.450794928557,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_alt_operator_alternating,0,0.0,0.0,0,,,,,,0.0,0.001215125944296197
